DataYear,DataMonth,CompanyCode,CompanyName,Category,CapitalStock,ThisMonthRevenue,PreviousMonthRevenue,ThisMonthRevenueOfLastYear,RevenueGrowthRateFromLastMonth,RevenueGrowthRateInTheSameMonthLastYear,CumulativeRevenues,CumulativeRevenuesLastYear,GrowthRateOfCumulativeRevenues
2013,1,2330,台積電,半導體業,259286171,47438687,37114148,34606486,27.81833763,37.08033517,47438687,34606486,37.08033517
2013,2,2330,台積電,半導體業,259286171,41182084,47438687,33893476,-13.18881992,21.50445708,88620771,68499962,29.37346009
2013,3,2330,台積電,半導體業,259286171,44134225,41182084,37114869,7.168508034,18.91251724,132754996,105614831,25.69730477
2013,4,2330,台積電,半導體業,259286171,50070645,44134225,40542396,13.45083096,23.50193856,182825641,146157227,25.0883345
2013,5,2330,台積電,半導體業,259286171,51787926,50070645,44177010,3.429716154,17.22822799,234613567,190334237,23.26398587
2013,6,2330,台積電,半導體業,259286171,54027749,51787926,43466925,4.324990732,24.29622983,288641316,233801162,23.45589454
2013,7,2330,台積電,半導體業,259286171,52103384,54027749,48567302,-3.561808581,7.280787391,340744700,282368464,20.67378034
2013,8,2330,台積電,半導體業,259286171,55091177,52103384,49539595,5.734354989,11.20635322,395835877,331908059,19.26070075
2013,9,2330,台積電,半導體業,259286171,55382473,55091177,43392356,0.528752544,27.63186447,451218350,375300415,20.22857742
2013,10,2330,台積電,半導體業,259286171,51794813,55382473,49995543,-6.477970025,3.598860802,503013163,425295958,18.2736759
2013,11,2330,台積電,半導體業,259286171,44329997,51794813,44295001,-14.41228487,0.079006658,547343160,469590959,16.55743142
2013,12,2330,台積電,半導體業,259286171,49681037,44329997,37154275,12.07092344,33.71553341,597024197,506745234,17.81545379
2014,1,2330,台積電,半導體業,259296624,51429993,49681037,47438687,3.520369351,8.413609761,51429993,47438687,8.413609761
2014,2,2330,台積電,半導體業,259296624,46829051,51429993,41182084,-8.946028828,13.71219339,98259044,88620771,10.87586227
2014,3,2330,台積電,半導體業,259296624,49956128,46829051,44134225,6.677643329,13.19135659,148215172,132754996,11.64564534
2014,4,2330,台積電,半導體業,259296624,61887391,49956128,50070645,23.88348232,23.60014735,210102563,182825641,14.91963701
2014,5,2330,台積電,半導體業,259296624,60789137,61887391,51787926,-1.774600581,17.38090651,270891700,234613567,15.46293058
2014,6,2330,台積電,半導體業,259296624,60343956,60789137,54027749,-0.732336437,11.69067214,331235656,288641316,14.75684098
2014,7,2330,台積電,半導體業,259296624,64924870,60343956,52103384,7.591338559,24.60777979,396160526,340744700,16.26315127
2014,8,2330,台積電,半導體業,259296624,69278551,64924870,55091177,6.705721552,25.75253384,465439077,395835877,17.58385332
2014,9,2330,台積電,半導體業,259296624,74846313,69278551,55382473,8.036776058,35.1444039,540285390,451218350,19.73923268
2014,10,2330,台積電,半導體業,259296624,80736353,74846313,51794813,7.869512557,55.87729412,621021743,503013163,23.46033636
2014,11,2330,台積電,半導體業,259296624,72274532,80736353,44329997,-10.48080658,63.03752964,693296275,547343160,26.66574202
2014,12,2330,台積電,半導體業,259296624,69510190,72274532,49681037,-3.824780214,39.9129209,762806465,597024197,27.76809865
2015,1,2330,台積電,半導體業,259303805,87120068,69510190,51429993,25.33423948,69.39544985,87120068,51429993,69.39544985
2015,2,2330,台積電,半導體業,259303805,62645075,87120068,46829051,-28.09340438,33.77395796,149765143,98259044,52.41868525
2015,3,2330,台積電,半導體業,259303805,72269001,62645075,49956128,15.36262188,44.6649368,222034144,148215172,49.80527365
2015,4,2330,台積電,半導體業,259303805,75329510,72269001,61887391,4.234884885,21.72028709,297363654,210102563,41.53261614
